pdf_name,Continent,background,humans,nature,language,photo,busy,logo,graphic,Name,Size,Sector,Country,Country Status,Region,Date Added,Title,Publication Year,Type,Report Pdf Address,Report Html Address,Adherence Level,Status,Application Level,Sector Supplements (Final),GRI Content Index URL,Integrated,Organization type,Listed/Non-listed,OECD,UNGC,CDP,IFC,ISO,External Assurance,Type of Assurance Provider,Assurance Provider,Stakeholder Panel/ Expert Opinion,Assurance Scope,Level of Assurance,Assurance Standard: AA1000 AS,Assurance Stanadard: ISAE3000,Assurance Standard: national (general),Assurance Standard: national (sustainability),Materiality Matters Check,GRI Service,Featured Report?,OS,GOLD Community,SDGs
Axiata_2017.pdf,Asia,black,0,FALSE,English,FALSE,Not Busy,TRUE,FALSE,Axiata,MNE,Telecommunications,Malaysia,DAC-UMICT,Asia,26-5-2017,Sustainability & National Contribution Report 2016,2017,GRI - G4,http://axiata.listedcompany.com/misc/sustainability2016.pdf,NA,In accordance - Core,NA,NA,Not Applicable,NA,No,Private company,Listed,No,No,No,No,No,Yes,Accountant,Deloitte,Yes,Not specified,Limited/ Moderate,Yes,Yes,No,No,NA,Materiality Disclosures Service,No,NA,No,No
BeijingGehuaCATV_2016.pdf,Asia,white,0,FALSE,Others,FALSE,Not Busy,FALSE,FALSE,Beijing Gehua CATV,Large,Telecommunications,Mainland China,DAC-UMICT,Asia,8-9-2016,Beijing Gehua Corporate Social Responsibility Report 2015,2016,Non - GRI,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-01/600037_20160401_14.pdf,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-01/600037_20160401_14.pdf,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
BeijingGehuaCATV_2017.pdf,Asia,white,0,FALSE,Others,FALSE,Not Busy,FALSE,FALSE,Beijing Gehua CATV,Large,Telecommunications,Mainland China,DAC-UMICT,Asia,27-11-2017,Social Responsibility Report 2016,2017,Non - GRI,http://pdf.dfcfw.com/pdf/H2_AN201703310457093478_01.pdf,NA,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
Bezeq_2011.pdf,Asia,blue,0,FALSE,Others,FALSE,Not Busy,TRUE,TRUE,Bezeq,Large,Telecommunications,Israel,OECD,Asia,4-5-2011,CSR Report 2010,2011,GRI - G3,http://www.bezeq.co.il/about/Documents/15429.pdf,NA,NA,GRI-checked,B,Not Applicable,NA,No,Private company,Listed,No,No,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BhartiInfratelLimited_2016.pdf,Asia,blue,8,TRUE,English,FALSE,Somewhat Busy,TRUE,TRUE,Bharti Infratel Limited,Large,Telecommunications,India,DAC-LMICT,Asia,27-3-2017,Sowing the Seeds for Digital India. Annual Report 2015-16,2016,Non - GRI,http://www.bharti-infratel.com/cps-portal/web/pdf/Annual%20Report%202015-16.pdf,http://www.bharti-infratel.com/cps-portal/web/results.html#2,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
BhartiInfratelLimited_2017.pdf,Asia,white,0,FALSE,English,FALSE,Somewhat Busy,TRUE,TRUE,Bharti Infratel Limited,Large,Telecommunications,India,DAC-LMICT,Asia,4-12-2017,Bharti Infratel Annual Report FY 16-17,2017,Non - GRI,http://www.bharti-infratel.com/cps-portal/web/pdf/Annual_Report_2016-17_update.pdf,http://www.bharti-infratel.com/cps-portal/web/results.html#2,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
BlueLabelTelecoms_2011.pdf,Africa,white,5,FALSE,English,TRUE,Very Busy,TRUE,TRUE,Blue Label Telecoms,Large,Telecommunications,South Africa,DAC-UMICT,Africa,25-9-2012,Integrated Annual Report,2011,GRI - G3,http://www.bluelabeltelecoms.co.za/online_reports/ar2011/pdf/full.pdf,http://www.bluelabeltelecoms.co.za/online_reports/ar2011/index.php,NA,Third-party-checked,C+,Not Applicable,http://www.bluelabeltelecoms.co.za/sd_gri_table.php,Yes,Private company,Listed,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BlueLabelTelecoms_2012.pdf,Africa,blue,0,FALSE,English,TRUE,Very Busy,TRUE,FALSE,Blue Label Telecoms,Large,Telecommunications,South Africa,DAC-UMICT,Africa,2-5-2013,Integrated Annual Report 2012,2012,GRI - G3.1,http://www.bluelabeltelecoms.co.za/online_reports/ar2012/pdf/full.pdf,NA,NA,Self-declared,C+,Not Applicable,http://www.bluelabeltelecoms.co.za/sd_declaration.php,Yes,Private company,Listed,No,Yes,No,No,No,Yes,Accountant,PricewaterhouseCoopers,No,Specified section(s),Limited/ Moderate,No,Yes,No,No,NA,NA,NA,NA,NA,NA
BlueLabelTelecoms_2013.pdf,Africa,white,1,TRUE,English,TRUE,Very Busy,TRUE,FALSE,Blue Label Telecoms,Large,Telecommunications,South Africa,DAC-UMICT,Africa,7-4-2014,Integrated Annual Report 2013,2013,GRI - G3,http://www.bluelabeltelecoms.co.za/online_reports/ar2013/pdf/full.pdf,NA,Undeclared,NA,NA,Not Applicable,NA,Yes,Private company,Listed,No,No,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
BlueLabelTelecoms_2014.pdf,Africa,white,0,TRUE,English,FALSE,Somewhat Busy,TRUE,TRUE,Blue Label Telecoms,Large,Telecommunications,South Africa,DAC-UMICT,Africa,8-12-2014,Integrated Annual report 2014,2014,Citing-GRI,http://www.bluelabeltelecoms.co.za/online_reports/ar2014/pdf/full.pdf,NA,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
